2019-01-20 21:01:337 INFO  WaitHelper :39 - waiting for [[ChromeDriver: chrome on MAC (bd4fca798da543eca5a1aa46fe288b4e)] -> css selector: ul[role="listbox"]]for30 seconds
2019-01-20 21:01:563 INFO  WaitHelper :19 - WaitHelper object is created
2019-01-20 21:01:795 INFO  WaitHelper :39 - waiting for [[ChromeDriver: chrome on MAC (bd4fca798da543eca5a1aa46fe288b4e)] -> id: react-autowhatever-destination-fsc-search]for50 seconds
2019-01-20 21:01:433 INFO  WaitHelper :19 - WaitHelper object is created
2019-01-20 21:01:448 INFO  WaitHelper :39 - waiting for [[ChromeDriver: chrome on MAC (bd4fca798da543eca5a1aa46fe288b4e)] -> id: depart-fsc-datepicker-button]for30 seconds
2019-01-20 21:01:37 INFO  WaitHelper :19 - WaitHelper object is created
2019-01-20 21:01:61 INFO  WaitHelper :39 - waiting for [[ChromeDriver: chrome on MAC (bd4fca798da543eca5a1aa46fe288b4e)] -> id: return-fsc-datepicker-button]for30 seconds
2019-01-20 21:01:297 INFO  DropDownHelper :18 - Dropdown helper object created
2019-01-20 21:01:421 INFO  DropDownHelper :41 - selectUsingVisibleText and visibleText is Premium Economy
2019-01-20 21:01:562 INFO  DropDownHelper :18 - Dropdown helper object created
2019-01-20 21:01:601 INFO  DropDownHelper :41 - selectUsingVisibleText and visibleText is 1
